frame,si,ti
270,114.093,1.1017
271,114.0926,1.1304
272,114.0901,1.2538
273,114.0906,1.0981
274,114.0898,1.1063
275,114.0895,1.0696
276,114.0929,1.0124
277,114.0921,1.0822
278,114.0915,1.1276
279,114.094,1.0945
280,114.0934,1.1392
281,114.0909,1.2599
282,114.0916,1.0995
283,114.0905,1.1085
284,114.0901,1.0885
285,114.0952,1.0213
286,114.0925,1.1695
287,114.0932,1.0985
288,114.0939,1.1352
289,114.0936,1.4464
290,114.0908,1.0963
291,114.0928,1.0762
292,114.0901,1.1099
293,114.0889,1.0092
294,114.0927,1.1643
295,114.094,1.1215
296,114.0929,1.1256
297,114.0941,1.1461
298,114.0953,1.2538
299,114.0952,1.0832
300,114.095,1.0776
301,114.0941,1.0795
302,114.0928,1.0055
303,114.094,1.1122
304,114.0937,1.1419
305,114.0923,1.1142
306,114.0919,1.2713
307,114.0911,1.08
308,114.0901,1.1119
309,114.0917,1.0818
310,114.0935,1.025
311,114.0925,1.1034
312,114.094,1.0819
313,114.0907,1.1381
314,114.0922,1.0787
315,114.0921,1.2751
316,114.091,1.0947
317,114.0891,1.1099
318,114.0899,1.2982
319,114.0922,1.0251
320,114.0926,1.1152
321,114.0918,1.1187
322,114.0914,1.0841
323,114.0889,1.2264
324,114.0902,1.0616
325,114.0885,1.054
326,114.0899,1.0417
327,114.0921,1.0222
328,114.0921,1.0713
329,114.0921,1.1097
330,114.091,1.0736
331,114.0319,1.4374
332,114.0466,1.219
333,114.056,1.0452
334,114.0743,1.012
335,114.0714,1.0155
336,114.0753,0.9383
337,114.0774,1.0521
338,114.076,1.0483
339,114.0775,1.0468
340,114.0751,1.3902
341,114.0737,1.0084
342,114.0745,1.0053
343,114.0746,1.0235
344,114.0757,0.9106
345,114.0718,1.343
346,114.0729,0.9162
347,114.0747,0.9527
348,114.0744,0.9322
349,114.0755,0.9186
350,114.0763,1.0059
351,114.0764,0.9743
352,114.0764,0.0
353,114.0776,0.9887
354,114.0752,1.1542
355,114.0736,0.9955
356,114.0761,0.9824
357,114.0735,0.9782
358,114.0763,0.9501
359,114.0777,0.9863
360,114.0758,0.9754
361,114.0766,1.0338
362,114.0783,0.9931
