frame,si,ti
1,26.7508,0.0
2,24.9062,14.2289
3,26.2692,14.3128
4,24.7362,12.8632
5,26.0903,10.5949
6,26.1066,10.7495
7,25.1569,8.3545
8,26.0107,8.5104
9,24.9845,10.2398
10,26.3131,9.8713
11,24.8592,9.8952
12,25.8313,9.1921
13,24.2483,9.9753
14,25.59,11.4723
15,25.682,11.9209
16,24.4364,12.1651
17,26.1412,13.6332
18,24.4196,13.9577
19,26.1544,12.8527
20,25.5657,11.818
21,25.0647,10.9952
22,24.7595,11.7196
23,25.2335,11.1798
24,25.546,11.0296
25,25.7949,12.4636
26,24.4356,15.0875
27,26.2649,15.6594
28,26.3108,13.6655
29,26.0887,9.8916
30,24.6313,13.5095
31,25.7704,13.387
32,25.4724,11.9238
33,24.2761,9.3357
34,25.4692,8.9892
35,24.7972,11.0298
36,24.9676,11.4326
37,25.2635,12.8656
38,25.8238,12.2852
39,25.5174,13.0246
40,25.7001,13.8599
41,25.9391,10.9267
42,24.8911,10.552
43,25.7964,8.9002
44,26.1606,13.4906
45,25.012,12.0974
46,26.198,13.4417
47,25.1358,11.3621
48,26.3129,9.4068
49,25.8663,7.7801
50,25.6873,11.4173
51,25.6651,12.1817
52,25.823,13.8366
53,25.9492,12.7131
54,24.7668,11.9751
55,25.8926,9.794
56,24.4644,9.9532
57,25.9469,11.4338
58,25.7129,11.531
59,26.2263,11.5649
60,25.5318,8.9803
61,26.3759,6.4546
62,25.0429,6.4226
63,25.7016,7.1654
64,24.8661,8.1953
65,26.0243,7.9194
66,25.0108,7.0723
67,26.1666,6.3181
68,25.2103,6.078
69,26.3232,6.3326
70,25.3602,6.1094
71,26.18,5.8007
72,25.1917,5.5785
73,26.1315,5.649
74,25.3167,5.8581
75,25.9255,6.585
76,24.9474,6.6895
77,25.9686,5.7155
78,25.2718,5.3648
79,25.8747,5.0822
80,25.3104,5.6439
81,26.1698,5.8241
82,25.5282,6.4104
83,26.4946,6.3065
84,25.5906,6.087
85,26.6497,6.5549
86,25.5625,7.0928
87,26.2919,6.8
88,26.4847,8.4587
89,27.1586,10.9865
90,26.4458,13.4504
91,27.5622,15.1383
92,27.984,16.2898
93,26.6421,16.4037
94,27.9514,15.253
95,26.7824,12.1145
96,27.3938,7.8791
97,25.8685,12.2145
98,27.0689,13.8984
99,25.9021,14.1283
100,27.3264,12.6259
101,27.4545,9.4154
102,27.47,7.3587
103,26.7233,7.8875
104,28.3683,7.5838
105,27.4529,7.6236
106,28.6469,7.2703
107,27.6978,7.0363
108,28.5416,6.9958
109,27.8579,7.119
110,28.3032,7.6424
111,27.2475,8.1387
112,27.4572,9.5104
113,27.4942,8.5832
114,28.0242,9.8447
115,27.3921,8.3691
116,27.6804,10.2235
117,27.0186,9.5981
118,28.1062,8.3974
119,28.3438,9.58
120,26.7547,11.5353
121,27.2124,12.8216
122,26.9802,12.8759
123,28.1281,9.0675
124,27.0489,9.4072
125,27.9884,8.9941
126,26.7514,8.7985
127,28.2175,9.5941
128,27.1146,9.9807
129,28.3844,8.5562
130,27.5019,8.9926
131,28.4279,9.3675
132,27.4167,13.9777
133,28.2999,9.7364
134,27.2781,7.5261
135,27.6406,7.3634
136,27.2926,9.1726
137,28.0509,7.3151
138,26.4965,8.0413
139,27.4757,8.1476
140,26.8417,7.4821
141,27.3868,8.9403
142,26.3131,8.9059
143,27.6506,10.7546
144,27.0969,12.5479
145,28.514,11.917
146,26.8858,11.342
147,27.7127,11.4624
148,27.6373,10.5063
149,27.2532,9.7847
150,25.9584,8.1637
151,27.3392,8.1415
152,27.3189,10.1142
153,27.4388,9.9706
154,26.3824,11.4524
155,27.6563,11.7527
156,26.7029,10.2001
157,27.9314,8.5786
158,26.1087,11.5853
159,27.5534,11.6229
160,26.6905,11.6241
161,27.3992,9.0519
162,26.3681,6.748
163,27.2086,8.3479
164,27.4301,8.6581
165,27.6016,7.6202
166,26.7539,6.5765
167,27.9657,6.9902
168,26.6698,7.9996
169,28.2947,8.6146
170,28.3731,9.9046
171,27.0141,10.4357
172,28.3884,11.3765
173,26.649,12.6533
174,27.9872,12.9387
175,26.9602,14.147
176,28.716,13.7788
177,28.5004,13.7129
178,29.0004,13.7103
179,28.856,11.757
180,28.7374,9.5631
181,27.4063,8.1821
182,28.7357,8.0144
183,27.3663,8.8718
184,28.7408,9.278
185,28.5597,8.7916
186,26.8655,8.4796
187,28.2042,7.9009
188,27.548,7.7675
189,28.5499,7.4603
190,28.101,10.3145
191,27.2318,9.1188
192,28.2383,9.228
193,27.8596,16.3198
194,26.8002,17.2082
195,26.4091,16.4054
196,25.0,15.9514
197,26.4899,14.3383
198,25.3262,12.2058
199,26.3239,11.1502
200,25.2737,13.5931
201,25.5181,12.9843
202,25.1324,12.9126
203,24.0994,11.9467
204,24.8831,10.6743
205,24.2939,11.795
206,24.0577,13.9614
207,24.3867,15.022
208,24.0906,15.9592
209,24.0259,16.3014
210,23.4026,14.9238
211,23.2904,14.149
212,23.0888,13.3126
213,22.9059,14.0115
214,22.0921,12.6865
215,23.7771,11.2335
216,22.2462,10.9831
217,24.2713,14.3315
218,23.9506,12.636
219,23.8039,11.7153
220,22.5089,12.7575
221,22.3518,12.8957
222,22.1031,11.7318
223,21.6416,11.2622
224,21.1507,12.0555
225,20.833,13.5142
226,21.1313,13.6185
227,21.291,14.332
228,21.1494,12.5215
229,20.8531,10.2099
230,20.7245,10.9925
231,20.7135,12.6463
232,20.5194,13.8472
233,19.8584,15.5038
234,19.4781,16.4473
235,19.482,14.8248
236,19.2332,11.6993
237,19.4679,13.6002
238,19.8614,11.7882
239,19.9731,9.6769
240,20.0948,7.4556
241,18.9985,14.5885
242,19.1705,11.8415
243,19.9676,13.3286
244,20.2771,11.4485
245,20.393,8.0172
246,20.0785,11.818
247,19.7546,13.2101
248,19.171,13.8207
249,18.5589,13.847
250,18.1853,12.4105
251,18.1442,10.4245
252,20.0936,8.0311
253,19.8304,10.8797
254,19.7699,11.4785
255,19.6477,11.6886
256,19.8157,10.6881
257,19.9558,10.6887
258,19.7955,12.2985
259,19.6803,13.1904
260,19.8478,9.8428
261,19.6262,12.5518
262,18.7008,13.4799
263,18.3566,13.7482
264,18.1522,13.3368
265,18.5638,11.5709
266,18.8565,8.6028
267,18.5384,12.2989
268,17.6867,14.4153
269,18.9941,17.6673
270,18.9699,11.9577
271,18.7974,8.4385
272,19.2556,11.1726
273,18.9053,14.4343
274,19.6791,13.7608
275,19.3701,13.0952
276,19.7138,10.8738
277,18.9697,8.67
278,19.5946,11.0475
279,19.3304,11.3834
280,19.8196,10.8712
281,19.485,8.6006
282,18.601,11.6084
283,19.3182,12.476
284,18.9186,13.5762
285,19.1006,13.2725
286,18.8336,13.1297
287,19.5922,11.4636
288,19.1725,8.8159
289,19.3428,9.9051
290,19.2877,11.1133
291,18.4841,9.4133
292,19.5415,8.9929
293,19.5552,10.1712
294,19.4618,10.8508
295,19.2539,8.5809
296,18.979,9.5311
297,17.8491,12.4508
298,18.8033,11.1384
299,19.3993,12.1543
300,19.1473,13.583
301,18.8466,13.3716
302,18.5821,12.4121
303,17.9037,13.1221
304,17.9061,12.6649
305,17.6957,11.4334
306,18.2096,9.7012
307,18.218,8.1256
308,17.7047,12.5959
309,18.2238,13.4062
310,18.2541,11.6774
311,18.2007,11.1721
312,18.5282,10.8848
313,18.1677,11.2354
314,17.8364,10.9903
315,17.9447,9.9305
316,17.6259,11.1784
317,18.3184,11.9094
318,18.7544,8.3738
319,18.8235,9.1963
320,18.6443,8.7276
321,18.8493,10.1312
322,18.5315,9.4051
323,19.3786,9.4045
324,18.165,10.241
325,18.6519,8.336
326,18.6724,9.1801
327,18.5292,9.9122
328,18.3079,9.3369
329,18.8795,9.612
330,17.9193,8.704
331,19.1005,8.5679
332,18.104,8.6813
333,18.6813,8.549
334,18.0486,9.6696
335,18.4877,11.0115
336,18.2449,8.9827
337,18.2457,10.4075
338,17.5229,9.1571
339,18.8777,8.3307
340,18.1748,7.5397
341,18.9316,7.2464
342,17.8524,8.7524
343,18.6369,9.5436
344,29.6543,41.9776
345,28.0254,14.6168
346,29.8639,15.1037
347,29.6794,14.844
348,28.5017,8.7922
349,29.8285,9.5052
350,28.3519,11.101
351,29.59,11.0886
352,28.4946,9.9197
353,29.4742,9.3713
354,28.2168,10.2918
355,29.4059,9.4575
356,28.4009,9.1876
357,29.2781,8.8394
358,28.2425,8.069
359,29.1737,8.3481
360,28.0799,8.1383
361,28.9671,7.9917
362,29.6399,14.6129
363,30.8546,8.2992
364,29.4879,8.9665
365,30.576,9.6186
366,29.4437,12.0238
367,30.9248,12.2382
368,29.5292,10.86
369,30.8456,10.0606
370,29.106,10.1423
371,30.6459,11.3112
372,29.2399,11.9445
373,30.5533,12.0125
374,29.4529,10.6984
375,30.553,9.6952
376,28.924,14.7462
377,28.3226,8.6538
378,28.4398,9.0756
379,29.5411,8.5549
380,28.5521,9.4313
381,29.2759,9.8837
382,28.5904,10.3638
383,29.4598,10.004
384,28.6782,10.0019
385,29.6997,9.9475
386,28.6211,10.4576
387,29.5709,10.5003
388,28.7349,11.0305
389,29.5068,11.4165
390,28.8743,10.2421
391,29.3211,9.0044
392,29.248,9.8927
393,28.2706,10.6666
394,29.212,9.4961
395,28.5296,8.9675
396,29.3013,10.5861
397,28.6162,11.2834
398,29.2478,10.0854
399,28.6289,8.138
400,28.0939,11.9562
401,27.489,9.2779
402,28.5411,10.374
403,27.731,9.7185
404,28.5258,9.541
405,27.8914,10.4725
406,28.6768,11.8231
407,28.064,15.4459
408,29.3434,16.0161
409,28.0904,14.1057
410,29.1921,14.2034
411,27.7371,13.5611
412,31.3247,13.7423
413,28.9296,13.6473
414,30.2648,11.6198
415,28.5768,10.6061
416,30.1001,11.7024
417,28.9036,11.3338
418,30.8628,10.8396
419,29.0871,11.6573
420,30.553,9.8278
421,28.9034,11.9543
422,29.947,14.4893
423,28.508,13.6429
424,29.4665,11.8131
425,27.2341,10.4394
426,28.6721,12.2852
427,27.6075,14.493
428,26.2294,13.8304
429,27.3194,10.1114
430,27.3148,14.3277
431,26.6369,13.0273
432,28.0023,8.6875
433,26.3325,14.7193
434,27.7779,17.0233
435,26.2058,15.4072
436,27.5156,13.3876
437,25.9608,11.2413
438,27.4128,9.9825
439,25.9092,10.8099
440,27.4377,11.2821
441,25.9241,11.7633
442,27.0984,13.0519
443,24.797,13.4571
444,26.7279,12.9292
445,25.6152,12.0014
446,26.71,10.6165
447,24.6303,12.8552
448,25.8369,13.3954
449,25.0809,12.8031
450,24.499,19.581
451,25.0554,21.7424
452,25.7704,20.4975
453,25.4834,20.2493
454,24.712,16.5573
455,25.5717,11.0016
456,24.2515,10.6958
457,25.4847,10.2332
458,23.6058,11.68
459,24.9357,9.6462
460,24.5269,11.4496
461,26.6974,10.9678
462,25.3276,11.5257
463,27.5674,11.9757
464,26.5624,10.8036
465,27.7535,11.1796
466,26.1571,13.825
467,26.9247,15.5717
468,26.2593,14.9725
469,26.0228,12.7842
470,26.2547,12.2306
471,26.5238,15.8849
472,25.443,15.66
473,27.2265,14.0169
474,25.9631,12.3361
475,27.4153,10.7986
476,27.2579,13.6915
477,27.199,14.7025
478,27.304,14.6559
479,27.121,14.4638
480,25.9958,14.0782
481,27.7231,13.6814
482,26.3222,13.4847
483,27.9944,13.6238
484,26.313,13.6608
485,28.0395,13.3058
