frame,si,ti
1,28.286,0.0
2,28.3051,0.4594
3,28.306,0.3711
4,28.2996,0.3497
5,28.3042,0.239
6,28.3321,0.5129
7,28.3477,0.6481
8,28.3412,0.3402
9,28.3516,0.4931
10,28.3762,0.4569
11,28.3759,0.4242
12,28.3809,0.513
13,28.403,0.4864
14,28.4326,0.5694
15,28.4125,0.586
16,28.4164,0.6581
17,28.4321,0.5428
18,28.4094,0.5944
19,28.4194,0.667
20,28.4448,0.543
21,28.4452,0.6057
22,28.4683,0.5721
23,28.439,1.0214
24,28.4289,0.4014
25,28.4272,0.4352
26,28.4409,0.4109
27,28.4268,0.4292
28,28.4223,0.431
29,28.4326,0.3564
30,28.4244,0.3855
31,28.4235,0.4814
32,28.4291,0.4311
33,28.4196,0.3972
34,28.4166,0.3808
35,28.4342,0.3428
36,28.4374,0.3521
37,28.4385,0.3644
38,28.45,0.2771
39,28.457,0.5321
40,28.4492,0.6234
41,28.4425,0.3567
42,28.4496,0.5089
43,28.468,0.4875
44,28.4595,0.4423
45,28.4641,0.5288
46,28.4842,0.4969
47,28.5,0.7116
48,28.4916,0.5492
49,28.4888,0.5962
50,28.5073,0.5189
51,28.5429,0.7156
52,28.4935,1.0286
53,28.4754,0.4954
54,28.4704,0.5142
55,28.476,0.4432
56,28.464,0.496
57,28.4633,0.5036
58,28.4626,0.4482
59,28.4468,0.4256
60,28.4531,0.5145
61,28.4702,0.4905
62,28.4521,0.487
63,28.4584,0.5456
64,28.465,0.4534
65,28.4484,0.5089
66,28.4462,0.545
67,28.4516,0.3553
68,28.4713,0.563
69,28.4623,0.4536
70,28.4475,0.4987
71,28.4573,0.3191
72,28.4436,0.4366
73,28.4456,0.5533
74,28.4512,0.3708
75,28.4465,0.4478
76,28.4538,0.5672
77,28.4722,0.4747
78,28.459,0.5222
79,28.4594,0.6077
80,28.4746,0.5214
81,28.4343,1.023
82,28.423,0.4411
83,28.4185,0.477
84,28.4282,0.4106
85,28.4213,0.4508
86,28.4231,0.4959
87,28.4338,0.4047
88,28.4186,0.3968
89,28.4267,0.4942
90,28.447,0.451
91,28.44,0.4484
92,28.4488,0.5037
93,28.4693,0.4914
94,28.4551,0.5505
95,28.4555,0.5978
96,28.4732,0.5246
97,28.4801,0.6774
98,28.457,0.5905
99,28.4556,0.6336
100,28.4673,0.4254
101,28.4556,0.6262
102,28.4503,0.3643
103,28.4419,0.3826
104,28.4464,0.3028
105,28.4552,0.4467
106,28.4382,0.409
107,28.4359,0.4283
108,28.4495,0.3986
109,28.4548,0.5176
110,28.463,0.5042
111,28.338,1.4156
112,28.3276,0.447
113,28.3317,0.4409
114,28.3441,0.4591
115,28.336,0.4926
116,28.3368,0.4875
117,28.3433,0.4429
118,28.341,0.4896
119,28.3499,0.5424
120,28.3685,0.4783
121,28.3745,0.5158
122,28.3951,0.6117
123,28.447,0.6404
124,28.448,0.6619
125,28.4824,0.6969
126,28.5552,0.7286
127,28.5512,0.7712
128,28.5576,0.7458
129,28.5918,0.6899
130,28.6427,0.8663
131,28.6132,0.7753
132,28.6075,0.7851
133,28.5933,0.5783
134,28.5843,0.7144
135,28.5817,0.4531
136,28.574,0.4537
137,28.5818,0.4033
138,28.61,0.5414
139,28.4671,1.0815
140,28.4533,0.4533
141,28.4573,0.4535
142,28.4661,0.4536
143,28.4681,0.5475
144,28.471,0.5583
145,28.4686,0.5445
146,28.4808,0.5144
147,28.4769,0.5593
148,28.4907,0.6071
149,28.5089,0.5362
150,28.512,0.579
151,28.536,0.6966
152,28.5918,0.7495
153,28.5922,0.7145
154,28.6096,0.7741
155,28.6456,0.7612
156,28.6467,0.7312
157,28.6474,0.7314
158,28.6701,0.6854
159,28.6549,0.8
160,28.6644,0.8256
161,28.7011,0.7267
162,28.6892,0.7212
163,28.69,0.7803
164,28.7257,0.6962
165,28.7083,0.6775
166,28.6951,0.6018
167,28.7047,0.5061
168,28.5979,1.0486
169,28.5781,0.3932
170,28.5719,0.3951
171,28.581,0.3066
172,28.5707,0.3396
173,28.5646,0.3432
174,28.5712,0.306
175,28.5539,0.3476
176,28.5539,0.4484
177,28.5783,0.4742
178,28.5754,0.4379
179,28.5852,0.4848
180,28.6141,0.5063
181,28.6129,0.5643
182,28.6217,0.5879
183,28.6529,0.5832
184,28.6846,0.7314
185,28.6779,0.6248
186,28.6762,0.6435
187,28.6921,0.5927
188,28.7227,0.7635
189,28.7132,0.6417
190,28.7053,0.6669
191,28.7249,0.6027
192,28.6959,0.661
193,28.7104,0.6974
194,28.7349,0.5476
195,28.7308,0.5773
196,28.7542,0.589
197,28.6498,0.9233
198,28.6445,0.6183
199,28.6614,0.4252
200,28.6489,0.2572
201,28.6534,0.3854
202,28.657,0.2732
203,28.6531,0.1726
204,28.6527,0.2342
205,28.6613,0.2262
206,28.6489,0.2704
207,28.6429,0.3003
208,28.6515,0.2463
209,28.6533,0.3921
210,28.6561,0.4628
211,28.6586,0.474
212,28.6767,0.3782
213,28.6723,0.5698
214,28.6989,0.6696
215,28.7333,0.527
216,28.7315,0.5401
217,28.7507,0.6788
218,28.7893,0.5709
219,28.7845,0.521
220,28.7884,0.5891
221,28.8091,0.5712
222,28.7896,0.5927
223,28.7918,0.6604
224,28.8057,0.5822
225,28.7484,0.8477
226,28.7697,0.936
227,28.7466,0.4664
228,28.7465,0.4628
229,28.7598,0.4083
230,28.7651,0.5142
231,28.7637,0.4771
232,28.7727,0.365
233,28.7672,0.3808
234,28.7807,0.499
235,28.7942,0.4771
236,28.8149,0.4917
237,28.8402,0.559
238,28.8706,0.6076
239,28.8614,0.6993
240,28.8742,0.7258
241,28.8935,0.7337
242,28.8975,0.8681
243,28.8939,0.8063
244,28.8915,0.8098
245,28.9302,0.7838
246,28.8521,0.9013
247,28.8401,0.8723
248,28.8533,0.7269
249,28.8235,0.6953
250,28.8234,0.7833
251,28.8494,0.7145
252,28.8315,0.673
253,28.8205,0.7158
254,28.8389,0.6699
255,28.7044,0.9866
256,28.691,0.7569
257,28.6757,0.4319
258,28.6728,0.4609
259,28.6831,0.4201
260,28.6696,0.4019
261,28.6649,0.3864
262,28.6656,0.343
263,28.6595,0.4384
264,28.6645,0.4745
265,28.6621,0.3505
266,28.6498,0.2987
267,28.6553,0.4219
268,28.6565,0.3941
269,28.6563,0.2602
270,28.6578,0.2637
271,28.6341,1.2097
272,28.6395,0.5607
273,28.6351,0.4621
274,28.6369,0.5953
275,28.6611,0.5682
276,28.6536,0.6287
277,28.6556,0.6604
278,28.6771,0.583
279,28.6576,0.7401
280,28.6802,0.7963
281,28.7215,0.6658
282,28.6716,0.7279
283,28.6631,0.8461
284,28.6881,0.9021
285,28.6452,0.483
286,28.6249,0.5084
287,28.6328,0.424
288,28.6237,0.4602
289,28.6159,0.4769
290,28.6212,0.3779
291,28.611,0.3733
292,28.611,0.0
293,28.6193,0.4781
294,28.639,0.5223
295,28.6385,0.4869
296,28.6472,0.5339
297,28.6821,0.5471
298,28.6745,0.5834
299,28.6608,0.4903
300,28.6714,0.3668
