frame,si,ti
281,71.8596,2.1869
282,71.7183,2.5528
283,71.7036,3.0861
284,71.8504,2.8855
285,71.7756,2.4791
286,71.7882,2.0838
287,71.8861,2.2006
288,71.7797,2.2483
289,71.7733,2.2527
290,71.8355,2.9256
291,71.7259,2.4082
292,71.76,2.1696
293,71.8516,1.7733
294,71.7213,1.9349
295,71.7459,2.0749
296,71.8831,2.0208
297,71.7277,2.2355
298,71.7843,2.9786
299,71.9085,2.5659
300,71.7495,2.2434
301,71.7543,2.2649
302,71.8859,2.1134
303,71.7423,2.2858
304,71.6919,2.4692
305,71.8292,2.5218
306,71.6748,2.55
307,71.6974,2.5438
308,71.8172,2.5655
309,71.6911,2.5539
310,71.6737,2.5503
311,71.8289,2.4358
312,71.6955,2.3557
313,71.6943,2.4453
314,71.8388,2.3689
315,71.6829,2.4035
316,71.6912,2.3357
317,71.8088,2.3187
318,71.7076,2.3094
319,71.6853,2.3758
320,71.792,2.3761
321,72.1219,3.5246
322,71.9372,2.6602
323,71.8642,3.0506
324,71.9626,3.9981
325,71.7553,4.8203
326,71.6608,5.076
327,71.8223,5.1588
328,71.8572,4.532
329,71.7673,3.9027
330,71.8377,3.9495
331,71.7303,3.8258
332,71.7385,3.9057
333,71.8116,4.1296
334,71.7181,4.1561
335,71.6561,3.8921
336,71.7717,3.9057
337,71.6453,3.9936
338,71.6455,4.0596
339,71.7762,4.2959
340,71.6847,4.1964
341,71.6811,4.7004
342,71.7781,3.6464
343,71.6619,3.4495
344,71.6499,3.3569
345,71.7662,3.2647
346,71.7925,3.2068
347,71.8215,3.0448
348,71.7433,2.7961
349,71.7392,2.9588
350,71.8139,3.1869
351,71.7231,3.2417
352,71.7553,3.2458
353,71.8439,3.4141
354,71.7073,3.4382
355,71.662,3.5841
356,71.7504,3.6724
357,71.7393,3.7961
358,71.6906,3.6164
359,71.7378,3.6434
360,71.8386,3.668
361,71.7357,3.5118
362,71.7495,3.274
363,71.8565,3.1472
364,71.7377,2.9801
365,71.7514,2.8327
366,71.8615,2.7079
367,71.7407,3.1725
368,71.7203,3.0717
369,71.756,3.057
370,71.6549,2.1854
371,71.6778,2.1661
372,71.7494,2.0121
373,71.6186,2.1463
374,71.5553,2.5107
375,71.629,2.8766
376,71.5305,3.1345
377,71.4938,3.351
378,71.498,3.6358
379,71.4289,4.0258
380,71.4336,4.3264
381,71.5107,4.4578
382,71.4489,4.4413
383,71.4649,4.4932
384,71.537,4.5602
385,71.4237,4.4541
386,71.3971,4.4311
387,71.5412,4.5911
388,71.4447,4.6388
389,71.4386,4.626
390,71.5674,4.4526
391,71.5123,4.2417
392,71.4898,4.0914
393,71.542,4.223
394,71.4576,4.0209
395,71.5106,4.0833
396,71.6201,4.0621
397,71.5663,3.9961
398,71.6226,3.6955
399,71.6725,3.6516
400,71.617,3.6971
401,71.6017,3.6424
402,71.6455,3.7386
403,71.6035,3.8323
404,71.5496,3.5998
405,71.6097,3.518
406,71.4532,3.3561
407,71.4615,3.4286
408,71.5661,3.3406
409,71.4924,3.3516
410,71.4222,3.3507
411,71.5256,3.6177
412,71.4524,3.7182
413,71.4618,3.0444
414,71.5399,2.3349
415,71.5272,2.3629
416,71.4135,2.4788
417,71.5056,2.6361
418,71.6436,2.5303
419,71.6389,2.5357
420,71.4993,2.5593
421,71.4986,2.8586
422,71.6244,2.7027
423,71.6225,2.6301
424,71.4776,2.3876
425,71.4884,2.2947
426,71.6209,2.1475
427,71.4731,2.1758
428,71.4705,2.1304
429,71.5917,2.0916
430,71.484,2.232
431,71.4871,2.2142
432,71.5935,2.3235
433,71.4704,2.2546
434,71.4649,2.2126
435,71.5892,2.2878
436,71.4736,2.3499
437,71.4923,2.4353
438,71.6483,2.3696
439,71.6597,2.2763
440,71.5687,1.8964
441,71.5451,1.8758
442,71.6322,2.0196
443,71.6294,2.1295
444,71.5233,1.6698
445,71.4806,1.9193
446,71.5532,2.9082
447,71.4666,3.1196
448,71.5404,3.4891
449,71.5674,3.0374
450,71.4068,3.8579
451,71.4377,4.241
452,71.6112,4.1074
453,71.5342,3.6853
454,71.5416,3.719
455,71.639,3.8607
456,71.6044,4.5164
457,71.4933,4.8902
458,71.4719,4.8306
459,71.5836,4.2959
460,71.5048,4.0543
461,71.4574,3.8431
462,71.5485,4.1609
463,71.4965,3.9907
464,71.5888,3.6759
465,71.6866,3.4031
466,71.6306,3.0333
467,71.6041,2.8289
468,71.657,2.8711
469,71.7072,2.8026
470,71.6321,2.9482
471,71.6292,2.7807
472,71.7136,2.5203
473,71.7177,2.7313
474,71.6198,2.758
475,71.6181,2.7356
476,71.707,2.7171
477,71.6298,3.0007
478,71.5736,2.7195
479,71.5613,2.4463
480,71.6138,2.3612
481,71.7751,3.2267
482,71.6748,2.4957
483,71.6718,2.6695
484,71.7083,2.4725
485,71.677,2.4789
486,71.672,2.1765
487,71.6714,1.8771
488,71.5941,1.4261
489,71.6064,1.5763
490,71.6456,1.3289
491,71.6511,1.6558
492,71.573,1.6009
493,71.5761,1.9618
494,71.6987,2.034
495,71.6779,2.0218
496,71.5898,1.7828
497,71.5863,1.9735
498,71.6763,2.1834
499,71.6732,2.5549
500,71.6614,2.5732
501,71.66,2.5977
502,71.66,0.0
503,71.589,2.5879
504,71.5923,2.6429
505,71.6479,2.816
506,71.6402,3.1358
507,71.5582,3.2998
508,71.5555,3.3009
509,71.6355,3.3704
510,71.5362,3.6404
511,71.5205,3.879
512,71.5831,3.9994
513,71.4838,3.9775
514,71.4414,4.1014
515,71.4898,4.5793
516,71.4232,5.8156
517,71.4748,9.4314
518,71.5143,11.1786
519,71.4486,8.4453
520,71.4229,4.7998
521,71.4212,3.9554
522,71.4347,3.8963
523,71.4096,4.248
524,71.3902,4.3417
525,71.4635,4.1441
526,71.3468,4.035
527,71.3396,3.8047
528,71.4098,3.8533
529,71.3511,3.8329
530,71.3413,4.5104
531,71.3635,4.6437
532,71.2843,4.4189
533,71.2839,3.865
534,71.4157,4.7599
535,71.2663,5.6961
536,71.2967,6.1331
537,71.4714,7.4221
538,71.3999,7.6821
539,71.3968,7.7556
540,71.4454,8.2577
541,71.417,8.6713
542,71.4433,7.6998
543,71.5601,7.3992
544,71.5706,6.9224
545,71.5759,6.3815
546,71.4748,5.5193
547,71.4945,4.2452
548,71.348,3.7433
549,71.3352,4.1757
550,71.387,4.4675
551,71.4905,4.433
552,71.432,4.0359
553,71.4302,4.1143
554,71.4653,3.9578
555,71.4291,4.1945
556,71.3869,3.835
557,71.3872,4.3393
558,71.3118,4.5094
559,71.3069,4.2349
560,71.3557,4.1429
561,71.3121,4.2196
562,71.3097,4.2818
563,71.3771,4.3678
564,71.345,4.2856
565,71.3737,4.1457
566,71.4431,4.0026
567,71.3559,3.8399
568,71.3381,3.7005
569,71.4513,3.6658
570,71.5072,3.6006
571,71.4608,3.397
572,71.4962,3.1918
573,71.5437,2.9439
574,71.4256,2.7683
575,71.4707,2.6425
576,71.5414,2.398
577,71.4626,2.644
578,71.4646,2.8517
579,71.5598,3.352
580,71.4793,3.4076
581,71.3899,4.3197
582,71.354,4.6538
583,71.3992,4.4921
584,71.3555,4.0579
585,71.2893,3.8854
586,71.3474,3.6005
587,71.2893,3.5267
588,71.3152,3.4527
589,71.3895,3.4266
590,71.2838,3.3587
591,71.3001,3.3871
592,71.4193,3.1617
593,71.3147,3.0733
594,71.322,2.8935
595,71.4126,2.8227
596,71.3085,2.8676
597,71.3288,3.0435
598,71.4522,3.1437
599,71.374,3.0274
600,71.3959,2.9297
601,71.4876,2.7475
602,71.375,2.4538
603,71.4037,2.3654
604,71.5254,2.1708
605,71.3928,1.9904
606,71.3791,1.9608
607,71.4832,2.1073
608,71.3566,2.2859
609,71.3476,2.1291
610,71.4563,1.7102
611,71.3733,1.1407
612,71.349,1.7034
613,71.3993,1.9185
614,71.3303,2.2572
615,71.3596,2.5968
616,71.4895,2.2896
617,71.4233,1.9401
618,71.412,2.0052
619,71.4604,1.9122
620,71.3186,2.4907
621,71.3345,2.7164
622,71.3754,2.5242
623,71.2785,2.5328
624,71.2744,2.7178
625,71.3177,2.8238
626,71.2627,3.0229
627,71.3075,3.272
628,71.3295,3.2623
629,71.2772,3.5506
630,71.2416,3.4414
631,71.2881,3.53
632,71.234,3.6935
633,71.2633,3.4457
634,71.3299,3.4278
635,71.2811,3.357
636,71.2548,3.4387
637,71.2663,3.4449
638,71.2348,3.4841
639,71.3746,3.8835
640,71.4544,3.7183
641,71.3568,3.5617
642,71.5505,4.1149
643,71.5145,3.1987
644,71.4966,2.5754
645,71.4992,2.6928
646,71.4298,3.1983
647,71.3915,3.3429
648,71.4332,3.7995
649,71.443,3.4949
650,71.3986,2.8182
651,71.4962,2.9133
652,71.4924,2.7478
653,71.4096,2.6472
654,71.3931,2.9494
655,71.4422,3.6217
656,71.448,3.8192
657,71.4327,4.3337
658,71.3648,5.0146
659,71.3796,5.43
660,71.4444,5.264
661,71.3784,5.7196
662,71.3935,5.6729
663,71.4904,5.3613
664,71.4708,4.9055
665,71.5203,4.7378
666,71.5732,4.5005
667,71.5024,4.2788
668,71.4697,4.2514
669,71.5173,3.8938
670,71.6322,3.9795
671,71.6123,3.4931
672,71.5929,3.2559
673,71.6774,3.2724
674,71.5355,3.4157
675,71.5296,3.4979
676,71.6243,3.5805
677,71.5008,3.1364
678,71.463,3.1554
679,71.5062,3.112
680,71.4942,3.0856
681,71.4211,3.0801
682,71.4388,2.933
683,71.4797,2.8224
684,71.4632,3.0317
685,71.4805,2.9368
686,71.4864,2.6672
687,71.3988,2.4065
688,71.4121,2.4668
689,71.4923,2.7206
690,71.4462,2.7399
691,71.4847,2.7772
692,71.6076,2.7064
693,71.5526,2.6202
694,71.5273,2.7058
695,71.5496,2.7726
696,71.4605,3.397
697,71.461,3.7801
698,71.5588,3.6256
699,71.4965,3.4282
700,71.4804,3.3766
701,71.5071,2.8904
702,71.4376,2.7339
703,71.4067,2.8013
704,71.4178,3.1013
705,71.3377,3.3154
706,71.3285,3.3131
707,71.3844,2.8299
708,71.3725,3.476
709,71.408,3.1951
710,71.4857,2.1952
711,71.4048,2.1327
712,71.4499,2.4352
713,71.5325,2.742
714,71.5079,2.7995
715,71.5073,2.3569
716,71.5628,2.3996
717,71.4772,2.0651
718,71.4689,2.0293
719,71.5474,2.0365
720,71.561,2.3232
721,71.5059,2.4217
722,71.4698,2.7447
723,71.4881,2.8495
724,71.3655,3.0302
725,71.3856,2.9244
726,71.4321,2.8951
727,71.3512,2.7493
728,71.365,2.6797
729,71.3731,2.359
730,71.3548,2.334
731,71.3318,2.2511
732,71.3226,2.2047
733,71.3488,2.1717
734,71.4012,2.477
735,71.3593,1.8868
736,71.3799,2.3041
737,71.451,2.3339
738,71.4003,2.0788
739,71.3714,2.4336
740,71.4778,2.4809
741,71.4118,1.7459
742,71.3926,2.013
743,71.4555,2.3938
744,71.4419,2.0586
745,71.3815,2.4784
746,71.3952,2.3193
747,71.4673,2.1709
748,71.4736,2.166
749,71.4796,2.2457
750,71.4747,2.0759
751,71.3974,1.8256
752,71.4131,2.5523
753,71.4842,2.2625
754,71.438,1.7399
755,71.4276,2.1688
756,71.4865,2.1971
757,71.479,2.1783
758,71.4867,2.2941
759,71.4952,2.2231
760,71.4275,1.8464
761,71.4234,2.4326
762,71.5333,2.4985
763,71.4642,2.1279
764,71.4567,2.1925
765,71.5029,2.4671
766,71.4213,2.6644
767,71.4118,2.4221
768,71.4415,2.3411
769,71.3591,2.3904
770,71.3842,2.511
771,71.4478,2.5795
772,71.4578,2.7908
773,71.4682,2.6506
774,71.4678,2.6886
775,71.3334,2.6755
776,71.2872,2.7817
777,71.35,2.8859
778,71.3122,3.1349
779,71.3422,3.3151
780,71.4384,3.6882
781,71.3617,3.6408
782,71.3479,3.6032
783,71.4195,3.752
784,71.2978,3.9473
785,71.2628,4.2577
786,71.3442,4.1747
787,71.2736,4.6374
788,71.3292,4.5597
789,71.3887,4.7291
790,71.3134,4.3837
791,71.3519,3.2227
792,71.4378,3.4321
793,71.4054,3.9541
794,71.3525,3.8935
795,71.4327,3.7756
796,71.4437,3.6972
797,71.4048,2.7776
798,71.4028,2.1376
799,71.4526,1.9575
800,71.4465,1.9894
801,71.4209,1.982
802,71.546,2.8212
803,71.4783,2.1001
804,71.4699,1.8464
805,71.5219,1.5375
806,71.5252,1.7506
807,71.4372,1.7773
808,71.4407,1.8727
809,71.5227,1.7098
810,71.5294,1.676
811,71.5273,1.6261
812,71.5261,1.4264
813,71.5261,1.2187
814,71.5111,1.481
815,71.4361,1.5223
816,71.4436,1.908
817,71.5143,2.101
818,71.4398,1.6573
819,71.4338,1.4797
820,71.4813,1.477
821,71.4162,1.1702
822,71.3837,1.6056
823,71.466,1.3831
824,71.392,1.3375
825,71.4014,1.4946
826,71.4642,1.5761
827,71.3868,1.5794
828,71.3703,1.6609
829,71.4299,1.4648
830,71.4213,2.0164
831,71.3777,2.2556
832,71.3853,1.7718
833,71.477,1.4906
834,71.4161,1.6855
835,71.4022,2.0256
836,71.4617,2.1439
837,71.3835,2.1667
838,71.3813,1.7907
839,71.4635,1.6765
840,71.4639,1.6696
841,71.4194,1.5341
842,71.4307,1.4891
843,71.4983,1.8283
844,71.489,1.8571
845,71.418,1.6987
846,71.432,1.7178
847,71.4993,1.7819
848,71.4152,1.6349
849,71.3925,1.7717
850,71.4766,1.8359
851,71.4396,2.0839
852,71.4527,2.1543
853,71.5236,2.0113
854,71.4581,1.8279
855,71.4717,1.6997
856,71.5025,1.434
857,71.4199,1.2924
858,71.4063,1.4422
859,71.4661,1.286
860,71.4038,1.3504
861,71.4288,1.684
862,71.5051,1.475
863,71.4361,1.6713
864,71.3981,2.2941
865,71.4523,2.8075
866,71.454,2.9526
867,71.4717,2.7211
868,71.4634,2.4688
869,71.3961,2.3438
870,71.4049,2.4306
871,71.437,2.8083
872,71.4127,3.1482
873,71.3403,3.9905
874,71.3319,4.4274
875,71.3861,3.7898
876,71.3289,3.1935
877,71.3074,3.1532
878,71.4315,3.2938
879,71.3627,3.5936
880,71.3318,4.0436
881,71.3868,3.9898
882,71.3,3.8612
883,71.2997,3.9258
884,71.3689,3.7074
885,71.3399,3.5675
886,71.4253,3.4085
887,71.5104,3.2054
888,71.5025,3.1802
889,71.3817,3.3261
890,71.3851,3.357
891,71.4769,3.3559
892,71.4772,3.3814
893,71.4922,3.3949
894,71.5204,3.449
895,71.468,3.5574
896,71.4846,3.5325
897,71.5452,3.3755
898,71.4637,3.3392
899,71.4905,3.1543
900,71.5587,2.8457
901,71.4821,2.6961
902,71.4973,2.5798
903,71.5713,2.5872
904,71.5734,2.6675
905,71.4627,2.7122
906,71.4564,2.5192
907,71.5175,2.4373
908,71.5384,2.4269
909,71.49,2.3668
910,71.5628,2.4596
911,71.6562,2.4247
912,71.5664,1.9936
913,71.5578,2.4025
914,71.6251,2.6945
915,71.4835,2.7089
916,71.4687,2.484
917,71.5527,2.1168
918,71.466,2.0824
919,71.4879,2.0579
920,71.5691,2.1318
921,71.4703,2.4246
922,71.462,2.5032
923,71.5514,2.3855
924,71.4845,2.2615
925,71.4948,2.2852
926,71.5918,2.3043
927,71.4955,2.2758
928,71.4909,2.318
929,71.562,2.2613
930,71.4822,2.1377
931,71.4813,2.0773
932,71.5158,2.3855
933,71.4981,2.0752
934,71.4996,2.1605
935,71.4285,2.1677
936,71.4109,2.2377
937,71.467,2.5767
938,71.4472,2.9111
939,71.395,3.145
940,71.4007,3.3915
941,71.4518,3.4094
942,71.4517,3.2118
943,71.3854,3.0798
944,71.3847,3.1279
945,71.4133,3.0436
946,71.2833,3.352
947,71.3839,3.3617
948,71.4437,3.1327
949,71.358,2.9412
950,71.3438,2.5052
951,71.4314,2.2681
952,71.4159,2.338
953,71.3815,2.3772
954,71.407,2.6786
955,71.4234,2.6108
956,71.4331,2.7049
957,71.334,3.0019
958,71.3271,3.3459
959,71.4381,3.64
960,71.3741,3.7313
961,71.4124,3.7051
962,71.6133,4.7029
963,71.4625,4.2705
964,71.3797,4.5401
965,71.3727,5.2388
966,71.27,5.9616
967,71.3064,5.9684
968,71.2696,6.7041
969,71.2463,6.9744
970,71.4225,6.8767
971,71.5043,5.05
972,71.4633,5.3807
973,71.5223,4.9407
974,71.8607,4.4514
975,72.1825,4.2582
976,72.0026,3.1631
977,72.011,2.5429
978,72.1483,2.2063
979,71.9523,2.2249
980,71.9217,2.5856
981,71.9801,3.0453
982,71.6234,3.9444
983,71.4477,3.97
984,71.3528,4.4795
985,71.4325,5.601
986,71.3248,5.4895
987,71.3147,4.7742
988,71.4109,4.1117
989,71.2966,4.1265
990,71.2172,4.9072
991,71.2418,5.18
992,71.1736,5.5326
993,71.2379,4.7639
994,71.3531,4.3142
995,71.3182,4.2132
996,71.3771,3.9606
997,71.458,3.5589
998,71.3547,3.6946
999,71.3213,3.9501
1000,71.3588,4.1146
1001,71.2911,4.2431
1002,71.2999,4.1549
1003,71.422,4.1131
1004,71.3717,3.8543
1005,71.3571,4.2086
1006,71.3896,3.5916
1007,71.3137,3.3624
1008,71.3377,3.5767
1009,71.4461,3.312
1010,71.3751,3.2899
1011,71.3683,3.368
1012,71.4262,3.0167
1013,71.3399,3.0282
1014,71.386,3.1779
1015,71.456,3.2336
1016,71.3143,3.2338
1017,71.2939,3.1685
1018,71.4215,3.3614
1019,71.3702,3.4454
1020,71.3937,3.1373
1021,71.4575,3.0939
1022,71.3999,3.1416
1023,71.3601,3.3494
1024,71.4524,3.313
1025,71.278,3.5514
1026,71.261,3.6116
1027,71.4119,4.2222
1028,71.3338,3.9043
1029,71.2963,3.61
1030,71.3635,3.5269
1031,71.2834,3.8913
1032,71.2851,3.6515
1033,71.4123,3.9683
1034,71.3192,4.0445
1035,71.2789,4.3687
1036,71.3664,3.874
1037,71.3708,4.0026
1038,71.4027,3.7914
1039,71.5054,3.7404
1040,71.4155,3.9158
1041,71.4548,3.9503
1042,71.538,4.091
1043,71.4167,4.0476
1044,71.3329,4.179
1045,71.3726,4.6252
1046,71.2435,4.8854
1047,71.2305,4.6552
1048,71.2889,4.492
1049,71.1589,4.6076
1050,71.2055,5.232
1051,71.3079,4.6141
1052,71.3028,4.1731
1053,71.3309,3.6717
1054,71.4276,3.5689
1055,71.3394,3.6757
1056,71.3126,3.7615
1057,71.3999,4.1722
1058,71.3353,4.3081
1059,71.3536,4.2027
1060,71.4301,4.2194
1061,71.392,4.3528
1062,71.3686,4.3692
1063,71.406,4.28
1064,71.37,4.3577
1065,71.4056,3.9599
1066,71.5582,3.7447
1067,71.4995,3.3458
1068,71.5265,3.2319
1069,71.5834,3.0613
1070,71.5924,3.1843
1071,71.5007,3.2445
1072,71.4935,3.3167
1073,71.5507,3.2244
1074,71.4344,3.6106
1075,71.3543,3.9902
1076,71.3921,4.0289
1077,71.274,4.3953
1078,71.2545,4.5735
1079,71.3285,4.7426
1080,71.2457,4.6717
1081,71.2659,4.6254
1082,71.3459,4.771
1083,71.3444,4.3662
1084,71.3596,3.8879
1085,71.456,3.3702
1086,71.5034,3.6094
1087,71.4202,4.3339
1088,71.3743,5.4517
1089,71.3701,5.8422
1090,71.3464,6.2353
1091,71.2757,7.1541
1092,71.4186,7.9221
1093,71.387,8.3312
1094,71.3637,7.6619
1095,71.4935,7.6015
1096,71.482,7.028
1097,71.5488,6.1169
1098,71.8082,5.884
1099,71.7533,5.5697
1100,71.8318,5.4029
1101,72.0532,5.1756
1102,71.9811,4.569
1103,72.0524,4.3047
1104,72.17,4.1392
1105,71.9488,4.2183
1106,71.8732,4.4641
1107,71.8895,4.7917
1108,71.748,5.0043
1109,71.7485,5.2117
1110,71.7895,5.1182
1111,71.6612,5.0376
1112,71.5768,5.0695
1113,71.5344,5.1469
1114,71.508,5.2216
1115,71.394,5.4604
1116,71.4055,5.5356
1117,71.5003,5.5564
1118,71.425,5.0554
1119,71.3801,5.0832
1120,71.401,5.3487
1121,71.3737,5.1928
1122,71.4971,5.479
1123,71.4114,4.7916
1124,71.4449,4.5427
