frame,si,ti
1,0.0,0.0
2,1.7317,3.1144
3,3.0574,3.3135
4,4.6973,3.2701
5,4.6973,0.0
6,6.5551,3.0635
7,8.233,3.2151
8,9.994,3.1867
9,11.5367,3.1012
10,13.0694,3.2268
11,13.0694,0.0
12,14.7631,3.0034
13,18.1025,3.6368
14,19.8164,3.1532
15,21.6582,3.1434
16,23.4764,3.5511
17,23.4764,0.0
18,25.4599,3.3562
19,27.2858,3.1418
20,29.1217,2.9706
21,29.1271,0.308
22,29.1338,0.2436
23,29.1338,0.0
24,29.1302,0.2154
25,29.1348,0.2421
26,29.1065,0.4616
27,29.121,0.3279
28,28.8598,2.5253
29,28.8598,0.0
30,28.6947,0.4856
31,28.3883,0.9045
32,28.7116,2.6782
33,28.6697,0.5314
34,28.6891,0.5833
35,28.6891,0.0
36,28.6806,0.2788
37,28.6884,0.9582
38,28.645,1.8823
39,28.7019,2.2745
40,28.8608,2.7163
41,28.8608,0.0
42,28.851,1.7425
43,28.8556,0.97
44,28.8521,0.7156
45,28.8246,0.463
46,28.8253,0.2752
47,28.8253,0.0
48,28.8547,0.2862
49,28.8145,0.8482
50,28.8437,2.2011
51,28.7952,2.8086
52,28.7925,3.0278
53,28.7925,0.0
54,28.7597,4.0138
55,28.6303,4.0677
56,28.5012,3.8822
57,28.4947,2.848
58,28.4848,3.1165
59,28.4848,0.0
60,28.5446,3.3036
61,28.6918,3.4602
62,28.4464,2.9332
63,28.3955,2.2303
64,28.3922,1.9318
65,28.3922,0.0
66,28.3706,1.4261
67,28.3215,1.1369
68,28.3181,1.5765
69,28.2734,1.6582
70,28.242,1.4661
71,28.242,0.0
72,28.2492,1.1478
73,28.253,0.9979
74,28.261,0.6822
75,28.2652,0.5003
76,28.2595,0.365
77,28.2595,0.0
78,28.2615,1.0256
79,28.2881,1.4898
80,28.3469,1.4768
81,28.6397,1.9905
82,28.7336,2.3703
83,28.7336,0.0
84,28.8191,2.8162
85,28.9562,3.567
86,28.9643,3.1731
87,29.0488,3.1631
88,29.1343,3.1035
89,29.1343,0.0
90,29.2107,3.844
91,29.3251,5.0172
92,29.4031,4.5095
93,29.3956,3.4869
94,29.3267,4.275
95,29.3267,0.0
96,29.5449,5.1242
97,29.5396,4.6566
98,29.4836,4.3261
99,29.4673,4.439
100,29.4265,5.1128
101,29.4265,0.0
102,29.4486,6.4244
103,29.7234,6.1147
104,29.7317,5.1068
105,29.7708,6.0012
106,29.6111,8.264
107,29.6111,0.0
108,29.6076,7.6433
109,29.7322,6.5425
110,29.7633,6.1986
111,29.4222,6.6091
112,28.8981,6.0477
113,28.8981,0.0
114,29.1341,4.826
115,29.2108,4.1256
116,29.1639,4.1002
117,28.9508,5.6726
118,28.8288,5.695
119,28.8288,0.0
120,28.7557,5.3929
121,28.662,5.0151
122,28.5459,4.7383
123,28.387,3.7707
124,28.4611,3.2546
125,28.4611,0.0
126,28.5268,2.9159
127,28.5071,2.3689
128,28.5106,2.1142
129,28.4745,2.9496
130,28.4712,3.0054
131,28.4712,0.0
132,28.39,2.5538
133,28.3717,1.9829
134,28.3161,1.9418
135,28.3076,1.7199
136,28.2765,1.5198
137,28.2765,0.0
138,28.2671,1.241
139,28.2649,0.8094
140,28.2768,0.8907
141,28.2671,1.1407
142,28.2867,1.4028
143,28.2867,0.0
144,28.262,1.2473
145,28.2501,0.8687
146,28.2619,0.8086
147,28.3497,1.2099
148,28.3863,1.2427
149,28.3863,0.0
150,28.383,1.136
151,28.3866,0.9847
152,28.3845,1.2628
153,28.4109,1.7259
154,28.4536,1.6057
155,28.4536,0.0
156,28.4349,1.2726
157,28.451,1.2798
158,28.4568,1.0858
159,28.4307,0.7697
160,28.4604,0.6405
161,28.4604,0.0
162,28.4238,0.275
163,28.4517,0.4098
164,28.4607,0.6375
165,28.4298,0.7541
166,28.4396,0.888
167,28.4396,0.0
168,28.4245,1.4475
169,28.3936,1.402
170,28.3817,1.6354
171,28.3256,1.2068
172,28.3305,0.7864
173,28.3305,0.0
174,28.3259,0.9445
175,28.3785,1.236
176,28.377,1.3306
177,28.6289,1.53
178,28.6221,1.0754
179,28.6221,0.0
180,28.6239,1.3225
181,28.6157,1.8155
182,28.6682,1.9849
183,28.6802,1.461
184,28.6822,1.6206
185,28.6822,0.0
186,28.6224,1.8769
187,28.5799,1.3683
188,28.5173,1.1074
189,28.5043,0.8138
190,28.501,0.2979
191,28.501,0.0
192,28.499,0.191
193,28.5,0.2114
194,28.4957,0.2006
195,28.4992,0.2123
196,28.498,0.2183
197,28.498,0.0
198,28.499,0.217
199,28.4963,0.1987
200,28.4976,0.212
201,28.498,0.1949
202,28.4947,0.194
203,28.4947,0.0
204,28.5008,0.1867
205,28.4961,0.1543
206,28.5015,0.1725
207,28.498,0.1236
208,28.4989,0.1364
209,28.4989,0.0
210,28.5032,0.1415
211,28.495,0.2207
212,28.5028,0.2019
213,28.5,0.1342
214,28.5025,0.1079
215,28.5025,0.0
216,28.5007,0.1405
217,28.4985,0.1591
218,28.5026,0.1901
219,28.4956,0.2217
220,28.5197,0.814
221,28.5197,0.0
222,28.5028,0.6824
223,28.495,0.694
224,28.4907,0.6724
225,28.4777,0.7055
226,28.4767,0.8951
227,28.4767,0.0
228,28.5371,1.1336
229,28.6035,1.2978
230,28.671,1.3672
231,28.6807,1.4335
232,28.7213,1.2891
233,28.7213,0.0
234,28.704,1.3497
235,28.73,1.6511
236,28.762,2.0049
237,28.8018,2.3182
238,28.6477,1.8461
239,28.6477,0.0
240,28.5707,1.4589
241,28.558,1.2143
242,28.5692,1.0603
243,28.5843,1.045
244,28.5928,1.3102
245,28.5928,0.0
246,28.6778,1.5598
247,28.7858,1.7704
248,28.7992,1.4982
249,28.7755,1.3956
250,28.7873,1.2094
251,28.7873,0.0
252,28.7513,1.2674
253,28.7763,1.5632
254,28.7699,1.7951
255,28.7567,2.0098
256,28.8415,2.2401
