frame,si,ti
1,72.759,0.0
2,72.759,0.0
3,72.1019,9.0879
4,71.9758,8.2417
5,72.7023,8.4483
6,72.0112,8.4394
7,71.8015,9.0823
8,72.3678,9.6264
9,71.8374,9.474
10,71.6883,9.8608
11,72.4478,12.1065
12,72.0249,11.4785
13,71.9021,10.7818
14,72.7271,10.4763
15,71.8938,9.3391
16,71.8975,9.945
17,72.7376,13.9961
18,71.9497,13.2726
19,71.906,10.8717
20,72.463,10.1433
21,71.6141,11.5094
22,71.5944,8.1156
23,72.0263,11.7087
24,72.9759,10.4312
25,72.2167,11.4134
26,72.2434,14.846
27,72.5911,10.8787
28,71.9154,12.2938
29,71.9018,12.0197
30,72.3684,10.2014
31,71.715,11.2228
32,71.8102,9.4388
33,72.4281,9.8978
34,71.8496,10.4858
35,71.9024,8.397
36,72.477,8.9385
37,71.8268,10.7757
38,72.0419,7.7817
39,72.4756,9.753
40,71.9308,11.7918
41,72.0334,9.3712
42,72.5644,11.4642
43,71.7733,12.3934
44,71.547,8.4873
45,72.0994,9.4126
46,71.4951,10.8988
47,71.3942,8.2428
48,72.0822,7.685
49,71.4805,8.5263
50,71.5512,9.7029
51,72.1438,9.8912
52,71.6269,9.5422
53,71.6941,10.6408
54,72.1517,9.9381
55,71.7949,9.6419
56,71.6876,13.7986
57,72.2641,9.8721
58,71.7234,11.2739
59,71.8696,12.6152
60,72.3517,12.5434
61,71.8811,15.3494
62,71.9197,14.2822
63,72.4746,12.0706
64,71.8475,11.7657
65,71.7687,10.2779
66,72.3487,12.7183
67,71.8229,13.3742
68,71.7811,10.8123
69,72.3532,12.6496
70,72.0538,12.174
71,72.8444,10.1883
72,71.6635,12.3881
73,72.0944,13.07
74,71.2583,10.588
75,71.2333,10.618
76,71.7343,12.3492
77,71.003,10.2287
78,71.0679,10.031
79,71.6795,13.0757
80,71.0932,10.7358
81,71.1266,10.0951
82,71.7434,11.9103
83,71.2891,10.6844
84,71.9248,10.4396
85,71.3203,12.7384
86,71.3763,12.4402
87,71.9277,10.9337
88,71.5108,12.6395
89,72.1622,10.3601
90,71.5074,9.8609
91,71.4987,12.3984
92,72.1713,10.2027
93,71.5829,9.6776
94,71.4481,11.4635
95,72.1469,10.7752
96,71.5662,10.5846
97,72.029,12.8244
98,71.4528,11.39
99,71.4859,9.5254
100,72.2326,11.3071
101,71.5924,9.8192
102,71.8999,10.3689
103,71.0332,10.8022
104,71.3066,9.9794
105,71.6774,10.7726
106,71.0133,11.12
107,71.2116,9.617
108,71.6031,10.2389
109,70.9856,10.5408
110,71.1473,8.8163
111,71.6118,9.1491
112,71.253,10.6397
113,72.0071,10.5276
114,71.2515,9.6558
115,71.4888,10.2876
116,72.0572,11.2506
117,71.3806,9.7086
118,71.3118,10.2474
119,72.0715,12.0565
120,71.3057,10.3127
121,71.9499,10.2821
122,71.2724,11.8387
123,71.2332,10.0649
124,71.8492,9.4024
125,71.295,12.9363
126,71.3111,9.6717
127,71.8122,9.645
128,71.5713,12.9316
129,72.0102,9.7111
130,71.3841,10.0443
131,71.8024,10.395
132,70.8181,12.5869
133,70.9675,10.2753
134,71.4836,10.2444
135,70.9443,14.3419
136,71.6868,11.3153
137,70.7537,10.5281
138,71.2933,12.5851
139,70.6152,11.8232
140,70.4061,10.8476
141,70.9797,13.0959
142,70.3443,12.0517
143,70.2139,11.0892
144,70.7139,13.0044
145,70.3905,11.5324
146,71.0115,10.8721
147,70.2314,11.8338
148,70.4676,13.4198
149,71.118,9.9899
150,70.5879,10.5309
151,71.2468,16.2712
152,70.5966,9.804
153,70.5659,11.4782
154,71.2955,15.509
155,70.7341,11.23
156,70.6037,10.4725
157,71.3428,14.2825
158,70.8216,11.3593
159,71.4114,10.1029
160,70.5312,13.6899
161,70.5519,10.9009
162,71.1873,9.9776
163,70.3887,12.2598
164,70.4927,11.267
165,71.0157,11.0327
166,70.2773,12.127
167,70.3399,12.3406
168,70.9536,10.9073
169,70.1686,11.8342
170,70.8454,13.1858
171,70.352,11.5722
172,70.8856,11.5249
173,70.1228,12.9812
174,70.1904,11.8673
175,70.789,11.5711
176,70.0829,11.8458
177,69.9881,11.9187
178,70.6005,11.842
179,69.8824,11.6002
180,69.9452,12.4478
181,70.4979,14.2794
182,69.9015,12.5825
183,70.3423,12.624
184,71.3299,13.8655
185,70.629,12.7183
186,70.471,13.0529
187,71.0429,13.9094
188,70.3384,13.9559
189,70.7213,13.362
190,70.131,13.9807
191,70.3886,13.425
192,70.852,12.2041
193,70.1467,13.2482
194,70.3746,12.5105
195,70.9092,12.9161
196,70.4134,13.2894
197,71.292,14.2145
198,70.4507,14.4545
199,71.1045,12.5631
200,70.4498,14.8408
201,71.0153,13.0648
202,70.3494,11.8596
203,71.1956,13.6594
204,70.4892,12.4601
205,70.4459,11.5086
206,71.0983,12.7624
207,70.2452,12.6252
208,70.3744,12.3962
209,71.1569,13.3448
210,70.3296,13.5816
211,70.403,11.2002
212,71.2002,11.1581
213,70.3557,13.6908
214,70.5134,11.5551
215,71.2469,9.5744
216,70.3056,12.253
217,71.1409,10.1965
218,70.344,8.3485
219,70.1253,10.7968
220,70.909,9.3627
221,70.3026,9.3949
222,70.2748,10.5576
