frame,si,ti
1,99.1834,0.0
2,99.2375,2.2311
3,99.3735,2.3003
4,99.4448,2.276
5,99.5546,2.2999
6,99.5518,2.3576
7,99.5593,2.6119
8,99.5708,2.7105
9,99.5643,3.1969
10,99.5986,2.7083
11,99.584,2.806
12,99.571,2.6793
13,99.4842,2.4745
14,99.546,2.433
15,99.5937,2.5119
16,99.6265,2.3714
17,99.7151,2.4205
18,99.7386,2.3216
19,99.7894,2.2638
20,99.8189,2.1224
21,99.8489,2.0831
22,99.8257,2.175
23,99.8345,2.4165
24,99.8466,2.1107
25,99.8581,1.7652
26,99.884,1.7418
27,99.8764,1.7684
28,99.8873,1.9527
29,99.8971,1.9043
30,99.9422,2.0518
31,99.8931,2.2707
32,99.9018,2.0677
33,99.8813,2.0289
34,99.8904,1.9535
35,99.9042,2.0626
36,99.8855,2.077
37,99.8702,2.0523
38,99.8807,2.1431
39,99.8355,2.4958
40,99.84,2.2656
41,99.8373,2.2602
42,99.8426,2.3329
43,99.8064,2.5055
44,99.8097,2.4867
45,99.8102,2.4139
46,99.806,2.2857
47,99.7432,2.3189
48,99.7464,1.9089
49,99.7547,1.6104
50,99.7737,1.6212
51,99.7618,1.8107
52,99.6905,2.2275
53,99.6633,1.8324
54,99.6259,1.9489
55,99.6432,1.8057
56,99.6647,1.7711
57,99.6971,2.0789
58,99.6822,2.0263
59,99.718,1.836
60,99.7542,1.6806
61,99.7618,1.6734
62,99.7947,1.5534
63,99.7239,1.8432
64,99.7335,1.7824
65,99.7271,2.0681
66,99.7379,2.1132
67,99.7599,2.2349
68,99.7939,2.313
69,99.8088,2.4004
70,99.8096,2.3456
71,99.8678,2.4087
72,99.8399,2.2813
73,99.6967,2.2111
74,99.6819,1.7804
75,99.6783,1.8653
76,99.6722,1.9251
77,99.6375,2.0953
78,99.6521,2.0321
79,99.6108,2.1984
80,99.5936,2.0234
81,99.6107,2.1917
82,99.6544,1.8448
83,99.6482,1.6189
84,99.6491,1.5859
85,99.6739,1.2629
86,99.672,1.8183
87,99.6893,1.7468
88,99.6477,1.8402
89,99.6655,1.6261
90,99.6769,1.6541
91,99.6684,1.5162
92,99.6877,1.4851
93,99.6938,1.4893
94,99.6885,1.6026
95,99.7288,1.7014
96,99.7474,1.6561
97,99.7364,1.6429
98,99.7736,1.7978
99,99.6516,2.0538
100,99.6827,2.0467
101,99.6929,1.8601
102,99.6165,2.1964
103,99.5559,2.001
104,99.589,1.7819
105,99.6133,1.8562
106,99.5867,1.6579
107,99.6673,1.9281
108,99.6701,1.5616
109,99.6678,1.7298
110,99.7178,2.09
111,98.6977,3.9838
112,99.0176,2.6406
113,99.0577,1.8165
114,99.1001,2.0141
115,99.1902,1.9986
116,99.2602,2.0033
117,99.3981,2.1575
118,99.5545,2.2819
119,99.6236,1.9501
120,99.6641,1.9271
121,99.7123,1.8066
122,99.7401,1.6898
123,99.7686,1.6295
124,99.8166,1.8327
125,99.8475,1.6548
126,99.8676,1.6589
