frame,si,ti
1,129.121,0.0
2,129.1522,3.1331
3,129.0276,2.9406
4,129.0184,2.8892
5,129.1102,2.8333
6,129.0128,2.8106
7,129.0131,2.7735
8,129.1218,2.7056
9,128.9834,2.7445
10,129.0001,2.7178
11,129.1618,2.7682
12,129.1651,2.9133
13,129.1798,3.1163
14,129.108,2.3291
15,129.1181,2.7188
16,129.2044,2.7594
17,129.2302,2.9577
18,129.2275,3.0496
19,129.13,2.9693
20,129.1673,3.0085
21,129.3371,3.087
22,129.3258,3.2124
23,129.3286,3.1985
24,129.2122,2.9774
25,129.174,2.9417
26,129.2739,2.762
27,129.1817,2.6183
28,129.2049,2.564
29,129.2769,2.419
30,129.3009,2.8768
31,129.4431,2.7792
32,129.4261,2.4129
33,129.4112,2.4536
34,129.4252,2.2615
35,129.3969,2.2862
36,129.3888,2.3068
37,129.4334,2.238
38,129.5204,2.4342
39,129.4888,2.0228
40,129.5653,1.9823
41,129.7757,3.1764
42,129.6194,1.8452
43,129.6196,1.8079
44,129.6726,1.6935
45,129.6696,1.9894
46,129.5512,1.7839
47,129.5618,1.8348
48,129.6541,1.8209
49,129.5402,2.0366
50,129.5994,2.1612
51,129.8375,2.2693
52,129.8494,2.4992
53,129.8678,2.4641
54,129.7451,2.3574
55,129.7724,2.3604
56,129.8789,2.3949
57,129.7759,2.4179
58,129.7536,2.433
59,129.8556,2.394
60,129.8568,2.5885
61,130.0365,3.3028
62,130.0186,2.5635
63,130.0026,2.613
64,129.8564,2.3161
65,129.8706,2.3267
66,129.9791,2.2073
67,129.8832,2.141
68,129.8682,2.1238
69,129.9914,2.0145
70,130.0223,2.1733
71,130.2242,3.0348
72,130.0216,1.8973
73,130.0188,1.9489
74,130.108,1.7631
75,130.1103,2.0213
76,129.9413,1.7928
77,129.9428,1.948
78,130.0502,2.0304
79,129.8656,2.1664
80,129.8909,2.2892
81,130.1322,2.2859
82,130.1418,2.4414
83,130.0804,2.2828
84,130.0792,2.558
85,129.9072,1.6828
86,129.9042,2.1077
87,130.0129,2.1299
88,130.0096,2.4336
89,129.9497,2.605
90,130.0086,2.481
91,130.0353,3.1028
92,129.9656,2.5026
93,129.9103,2.541
94,129.7327,2.2459
95,129.731,2.3049
96,129.8312,2.2866
97,129.8234,2.5735
98,129.7785,2.5961
99,129.5673,2.5608
100,129.5743,2.676
101,129.8327,2.7372
102,129.8003,2.9808
103,129.7001,2.9282
104,129.6699,2.9984
105,129.5725,3.0512
106,129.3825,2.7155
107,129.3208,2.7689
108,129.4454,2.7283
109,129.2128,2.8488
110,129.2408,2.8001
111,129.4967,2.7457
112,129.4374,2.7585
113,129.4193,2.8413
114,129.4238,2.8478
115,129.3907,3.4885
116,129.3969,2.4685
117,129.1937,3.0496
118,129.2195,3.2138
119,129.2925,3.318
120,129.2634,3.4647
121,129.2514,6.1447
122,129.1611,3.7329
123,129.1211,3.9284
124,129.137,3.9436
125,129.0994,3.968
126,129.0902,3.9729
127,128.8057,3.8313
128,128.8623,3.8833
129,129.0081,3.9942
130,129.0339,4.3012
131,129.2818,5.0117
132,129.1989,4.488
133,129.2125,4.4876
134,128.8765,4.2769
135,128.8704,4.3194
136,129.0288,4.251
137,128.9893,4.5356
138,128.7475,4.234
139,128.8013,4.7036
140,128.96,3.1924
141,129.4565,4.974
142,129.3965,4.1449
143,129.4768,4.7425
144,129.2292,3.0286
145,129.2669,3.8502
146,129.4656,3.7292
147,129.5733,3.926
148,129.3136,3.5389
149,129.3181,3.4962
150,129.5244,3.3322
151,129.8322,4.3568
152,129.8154,3.615
153,129.6305,3.736
154,129.3804,3.0978
155,129.4153,3.0797
156,129.5974,2.9325
157,129.6283,3.1457
158,129.598,3.0797
159,129.3824,2.9965
160,129.4393,2.9448
161,129.8403,2.9952
162,129.7954,3.0651
163,129.8427,3.0435
164,129.8028,2.8434
165,129.8289,2.7931
166,129.8141,2.7098
167,129.6035,2.4152
168,129.5365,2.3907
169,129.7291,2.2334
170,129.7423,2.3546
171,129.9196,3.4618
172,129.9485,2.3445
173,129.8981,2.1919
174,129.9429,2.1818
175,129.9443,2.1112
176,130.0317,2.097
177,130.0043,2.1508
178,130.0322,2.1408
179,129.7481,1.8553
180,129.783,1.9611
181,130.0677,2.0409
182,129.991,2.186
183,129.9413,2.3386
184,129.9167,2.2763
185,129.8672,2.5173
186,129.7519,2.3081
187,129.7155,2.3532
188,129.5409,1.8516
189,129.5109,1.8955
190,129.6525,1.9807
191,129.758,3.4942
192,129.6965,2.4551
193,129.6983,2.5803
194,129.6867,2.6047
195,129.5166,2.4776
196,129.4637,2.7097
197,129.6238,2.8145
198,129.5811,3.2738
199,129.2748,3.1666
200,129.2671,3.3273
201,129.585,3.6512
202,129.4734,3.7781
203,129.4283,3.8865
204,129.346,3.8962
205,129.3501,4.0296
206,129.1854,2.6291
207,129.2047,3.8681
208,129.3395,3.8826
209,129.1485,3.9877
210,129.244,3.9704
211,129.6783,4.0086
212,129.6613,4.1044
213,129.6597,4.2229
214,129.4729,3.7869
215,129.4885,3.8223
216,129.6213,3.7691
217,129.5162,3.9965
218,129.4315,3.8761
219,129.4766,3.8634
220,129.509,4.0101
221,129.4946,4.5635
222,129.4496,3.9972
223,129.4143,4.0475
224,129.4276,4.0973
225,129.2921,3.978
226,129.2257,3.9557
227,129.1442,3.9252
228,129.078,4.1787
229,128.8298,3.8389
230,128.9345,3.8818
231,129.3196,3.9093
232,128.9913,3.7613
233,128.9735,3.7441
234,129.1829,3.5485
235,128.9973,3.3884
236,129.0037,3.273
237,129.2472,3.1295
238,129.2731,3.2812
239,129.071,2.9285
240,129.1355,2.9289
241,129.5523,2.8911
242,129.5181,2.8921
243,129.4399,3.1212
244,129.4305,2.8007
245,129.2184,2.7824
246,129.1729,3.0387
247,129.3939,3.2465
248,129.4112,3.686
249,129.2471,3.605
250,129.3513,3.6779
251,129.7748,3.8212
252,129.7002,3.9464
253,129.6698,3.9402
254,129.3161,3.7519
255,129.2481,3.7912
256,129.3371,3.8102
257,129.1977,4.1312
258,129.1043,4.3512
259,128.7476,4.1216
260,128.8414,4.1469
261,129.2775,4.3052
262,129.1321,4.4419
263,129.1136,4.5071
264,129.0984,4.5518
265,128.8486,4.3349
266,128.7451,4.2204
267,128.9655,4.0997
268,128.656,4.0787
269,128.6696,4.0477
270,128.8458,3.8987
271,129.2366,4.7949
272,129.1477,3.9564
273,129.1532,4.0457
274,128.9057,3.4295
275,129.0074,3.4349
276,129.2499,3.3923
277,129.3286,3.5348
278,129.1163,3.3939
279,129.1549,3.5414
280,129.2668,3.4254
281,129.8325,6.3167
282,129.706,3.6183
283,129.6465,3.8289
284,129.3555,3.631
285,129.35,3.6506
286,129.5158,3.5356
287,129.5287,3.835
288,129.3351,3.5719
289,129.3294,3.6098
