frame,si,ti
1,58.954,0.0
2,58.9594,0.1743
3,58.9501,1.092
4,58.9329,1.2137
5,58.8996,1.5445
6,58.8202,1.9741
7,58.7532,2.199
8,58.6802,2.3821
9,58.0202,8.9091
10,56.6981,14.2683
11,57.7056,16.0207
12,55.1943,16.963
13,54.563,17.2239
14,54.9913,17.3871
15,52.1415,17.3503
16,53.3822,17.8033
17,52.7796,18.3754
18,51.5924,18.8249
19,50.9065,19.2098
20,49.3834,19.0513
21,48.3182,19.2319
22,46.7605,19.8831
23,45.9552,19.1654
24,42.3804,18.4457
25,44.4486,18.2072
26,41.0842,17.6648
27,43.087,17.3153
28,42.0042,17.6258
29,41.4826,17.6786
30,40.6874,18.111
31,40.4837,18.6331
32,39.7732,18.4483
33,39.4278,18.406
34,38.5556,18.5774
35,38.1004,17.8011
36,37.1505,17.5555
37,36.5959,17.5164
38,35.6961,17.1691
39,35.3554,16.9694
40,35.0328,16.6693
41,35.2735,17.1506
42,35.1376,17.7683
43,35.3576,18.2415
44,35.0701,17.7394
45,35.0661,17.2412
46,34.4319,16.9737
47,34.2387,16.2434
48,33.7221,16.3986
49,33.6017,16.7107
50,33.2388,16.9661
51,33.3188,17.6998
52,33.1408,18.2118
53,33.5091,17.0987
54,33.4497,16.2522
55,33.7738,16.5078
56,33.6812,16.8855
57,33.8495,18.1376
58,33.642,20.0051
59,33.7939,17.9867
60,33.8218,17.3423
61,33.762,17.6897
62,33.2346,17.4893
63,33.0118,17.8016
64,32.6235,18.5843
65,32.6234,19.4041
66,32.3372,20.5742
67,32.4363,21.9386
68,32.1012,22.9902
69,31.9752,24.3925
70,31.157,26.1089
71,30.5097,27.3974
72,29.2848,29.1945
73,28.3799,31.1551
74,27.6906,32.9065
75,26.4881,35.733
76,29.4013,53.8366
77,28.0728,42.5921
78,28.3967,42.1485
79,28.5404,43.955
80,28.6177,45.5494
81,28.6914,41.1908
82,29.376,36.922
83,30.0743,36.1757
84,30.7023,36.8383
85,30.7182,36.638
86,30.8546,34.6895
87,30.8981,33.2417
88,31.0423,33.3587
89,30.8273,33.5169
90,30.4992,33.4458
91,29.7165,33.6785
92,29.9412,34.5998
93,29.5969,36.5392
94,28.4774,35.2225
95,28.4196,32.0274
96,28.7695,30.9086
97,29.1675,32.2423
98,29.4761,28.5127
99,29.5479,25.1052
100,29.5833,23.5516
101,29.2929,24.5956
102,29.4611,24.7487
103,29.3866,22.4883
104,29.4086,20.854
105,29.3005,19.6717
106,29.5963,18.7316
107,29.5164,17.6703
108,29.7963,16.9411
109,29.742,16.3902
110,29.7924,15.8586
111,29.729,15.0441
112,29.9745,14.5858
113,30.0334,14.2297
114,30.3213,14.0146
115,30.2266,14.0099
116,30.4219,13.8564
117,30.2168,13.6682
118,30.5488,14.0671
119,30.5471,14.866
120,30.7836,14.7026
121,30.7696,14.3681
122,30.948,12.905
123,30.8375,12.5039
124,30.8931,12.6667
125,30.6088,12.7497
126,30.7761,13.2348
127,30.729,13.8157
128,30.9964,13.3912
129,30.7929,13.2158
130,30.9211,13.7248
131,30.6602,13.0836
132,30.6879,12.7098
133,30.5585,12.6432
134,30.7215,12.2847
135,30.7303,12.214
136,30.8213,12.4724
137,30.514,12.5262
138,30.6014,12.9599
139,30.3912,13.5497
140,30.5897,13.1417
141,30.3309,12.9894
142,30.3463,13.4003
143,30.2561,12.6315
144,30.4431,12.4949
145,30.1798,12.4895
146,30.3434,12.1265
147,30.18,12.0161
148,30.2489,12.1404
149,30.0306,12.1322
150,30.2596,12.5655
151,30.2149,13.2561
152,30.5079,12.8856
153,30.2983,12.7975
154,30.4781,13.2381
155,30.3141,12.514
156,30.4105,12.2448
157,30.1008,12.1534
158,30.1015,11.7409
159,29.8292,11.5929
160,29.5865,11.6642
161,29.7733,11.8084
162,29.8721,12.2003
163,29.7166,12.7106
164,29.8581,12.3699
165,29.6919,12.2911
166,29.7762,12.6998
167,29.6528,12.0282
168,29.7118,11.8
169,29.5293,11.8336
170,29.6071,11.4712
171,29.549,11.3846
172,29.6954,11.6104
173,29.4849,11.7285
174,29.8044,12.21
175,29.8065,12.8829
176,30.0705,12.5629
177,29.851,12.5601
178,30.0658,12.9926
179,29.9415,12.3305
180,30.0929,12.1269
181,29.9018,12.1511
182,29.9835,11.7994
183,29.7045,11.7233
184,29.8183,11.9087
185,29.6666,12.0293
186,30.0369,12.4973
187,30.0268,13.2176
188,30.384,13.0527
189,30.1873,13.0916
190,30.3048,13.4028
191,30.1582,12.8254
192,30.5963,12.6668
193,30.3115,12.6682
194,30.491,12.268
195,30.5,12.1932
196,30.8274,12.4805
197,30.623,12.5265
198,30.8755,12.952
199,30.8351,13.624
