,angel_falls_ti,angel_falls_si,clans_ti,clans_si,elephants_ti,elephants_si,jaws_ti,jaws_si,lions_ti,lions_si,lion_king_ti,lion_king_si,maldives_ti,maldives_si,manhattan_ti,manhattan_si,masquerade_ball_ti,masquerade_ball_si,ninja_turtles_ti,ninja_turtles_si,om_nom_ti,om_nom_si,pac_man_ti,pac_man_si,pluto_ti,pluto_si,rollercoaster_ti,rollercoaster_si,ski_ti,ski_si,super_mario_ti,super_mario_si,surf_ti,surf_si,venice_ti,venice_si
541,66.19145202636719,6.263505935668945,36.99610900878906,14.87564754486084,129.05291748046878,4.812587261199951,27.552471160888672,14.599997520446776,130.76380920410156,2.839614152908325,30.18971824645996,4.265335559844972,44.57516860961914,5.019436836242676,64.522216796875,13.694382667541506,31.383256912231445,3.646909952163696,73.46569061279297,7.687410831451416,30.80845069885254,5.2760276794433585,21.058347702026367,4.876140117645264,25.8188533782959,2.135164976119995,72.39424896240234,24.22431755065918,37.02126693725586,4.000540256500243,117.12606048583984,4.34540319442749,26.04531288146973,15.988750457763672,77.01626586914062,7.457737445831299
542,67.39682769775389,6.445464134216309,36.922645568847656,15.107035636901855,128.81706237792972,4.884521961212158,28.68227577209473,14.004643440246582,130.74110412597656,2.780520439147949,30.0911865234375,4.17284107208252,44.55879592895508,5.159189701080322,64.95301818847656,13.681761741638185,31.18313980102539,3.667901039123535,73.55419921875,7.388966083526611,30.69397354125977,4.810912132263184,21.04261016845703,4.9100871086120605,25.75625419616699,2.175558090209961,71.7996826171875,21.647375106811523,36.39612197875977,4.8010830879211435,117.1448745727539,4.410792350769043,26.22433853149414,16.533344268798828,75.81822204589844,7.925353050231934
543,66.19192504882811,6.140396595001222,37.196388244628906,15.106276512145994,128.94337463378906,4.7845001220703125,26.86184310913086,13.961329460144045,130.78565979003906,2.7035143375396733,30.32011985778809,4.15152645111084,46.354042053222656,5.34221076965332,68.10015869140625,13.04736042022705,31.1854305267334,3.792475461959839,73.57388305664062,6.905896663665772,30.78586578369141,4.73859453201294,20.983030319213867,5.053367614746094,25.758588790893555,2.11893630027771,72.34940338134766,17.842748641967773,36.31544876098633,5.475860118865967,117.17483520507812,4.368003845214844,25.91303634643555,16.069250106811527,76.07640075683594,7.300550937652588
544,66.57494354248047,6.400815010070801,37.40166091918945,15.6930570602417,128.7364501953125,4.644211769104004,27.50594711303711,14.069128036499025,130.81681823730472,2.8736231327056885,30.246767044067386,4.289948463439941,46.35310363769531,0.3230627477169037,66.03621673583984,15.347491264343262,31.300966262817386,3.8424248695373535,73.57479095458984,6.363905429840088,30.786603927612305,0.03118109330534935,20.98496627807617,0.19244137406349185,25.95397186279297,2.1770048141479488,72.44802856445312,19.173627853393555,35.6218147277832,6.201805591583253,117.21864318847656,4.378791809082031,25.313159942626953,15.695842742919922,76.06774139404297,0.210226371884346
545,67.32449340820311,6.394258499145508,37.95930480957031,16.549467086791992,128.78285217285156,4.612992763519287,25.21970558166504,13.449803352355955,130.6103515625,2.945704460144043,30.197668075561523,4.337469577789307,45.43335342407226,7.65255069732666,66.03384399414061,0.1370534896850586,31.01788711547852,3.967859983444214,73.498046875,5.507357120513916,30.75710105895996,5.121636390686035,21.007043838500977,5.195618152618408,25.86387634277344,2.142428159713745,72.26278686523438,18.57883071899414,35.457435607910156,6.677140712738037,117.22270965576172,4.365113258361816,25.388093948364254,15.409564971923828,75.85038757324219,7.8109798431396475
546,66.23416137695311,5.866682529449463,38.10340118408203,16.371362686157227,128.79896545410156,4.4004340171813965,25.6563720703125,13.312175750732422,130.50657653808594,2.6397736072540283,30.029226303100586,4.519498825073242,44.40769958496094,4.817419052124023,65.80201721191406,13.177725791931152,31.00009346008301,3.942927598953247,73.51167297363281,4.2368669509887695,30.72197723388672,4.143533229827882,21.086042404174805,5.358808994293213,25.725788116455078,2.207539319992065,72.21575164794922,19.15593719482422,34.842941284179695,7.206484317779541,117.25897979736328,4.356949329376222,25.692989349365234,16.204456329345707,75.76931762695312,8.408387184143066
547,66.51088714599611,6.171994209289551,38.27312088012695,16.155035018920902,128.66157531738278,4.459554195404053,24.952089309692386,11.576276779174805,130.48301696777344,2.447873830795288,30.22760581970215,4.626291275024414,43.56712341308594,4.653420448303223,64.18513488769531,10.162152290344238,31.23447608947754,3.8887543678283687,73.35295867919922,3.72981071472168,30.816177368164066,4.345048904418944,20.970739364624023,5.635691165924072,25.69611930847168,2.13859224319458,72.64744567871094,20.04014015197754,34.90077972412109,7.6769752502441415,117.29238891601562,4.356700897216797,25.30250740051269,15.46463108062744,75.41326904296875,8.91535472869873
548,68.38211059570311,6.216989040374756,38.02564239501953,16.454578399658207,128.73698425292972,4.614165306091309,24.879188537597656,12.01267147064209,130.51103210449222,2.699331521987915,29.99289512634277,4.829387187957764,43.94095993041992,4.783783435821533,64.72711944580078,12.85039520263672,31.33968162536621,4.1809067726135245,73.35025024414062,4.159940242767334,30.81811332702637,5.159644603729248,21.13845634460449,5.894019603729247,25.892396926879886,2.1559345722198486,72.32884216308594,17.38968849182129,34.51839065551758,8.146133422851562,117.30393981933594,4.41037130355835,24.95136833190918,15.167790412902832,75.21395874023438,8.769671440124513
549,66.46179962158203,5.8013014793396,38.20641326904297,15.749960899353027,128.8341064453125,4.456380367279053,23.80582618713379,12.903039932250975,130.56779479980472,2.567434549331665,30.10007286071777,4.984488010406494,44.373130798339844,4.301699638366698,65.95905303955078,12.263297080993652,31.215017318725586,3.948333263397217,73.40679931640625,4.452105045318604,30.671785354614254,4.982950210571289,20.94474601745605,6.320981979370117,25.78952598571777,2.11814284324646,72.33479309082031,17.902740478515625,34.24394989013672,8.598472595214844,117.31395721435548,4.368310451507568,25.580181121826172,14.845035552978516,75.7728500366211,9.073811531066896
550,66.21826171875,6.2376203536987305,38.19683837890625,15.543450355529785,128.90243530273438,5.116497993469238,25.06189346313477,13.06283187866211,130.54766845703122,2.8045053482055664,30.08837890625,5.221131324768066,44.37089157104492,0.6026529669761658,65.96300506591797,0.18016155064105988,31.091154098510746,3.8390288352966313,73.48866271972656,4.415061950683594,30.671669006347656,0.03856206685304642,20.95354652404785,0.23443558812141416,25.7025089263916,2.1916837692260738,71.88105773925781,18.602758407592773,34.32248306274414,9.031815528869627,117.33451080322266,4.355149269104004,26.09236145019531,15.463491439819336,75.7654037475586,0.22038887441158292
