,filename,si_med,ti_med
0,angel_falls.csv,59.8202438354492,4.2709846496582
1,clans.csv,30.2636470794678,14.5430111885071
2,elephants.csv,131.245399475098,2.97871923446655
3,jaws.csv,27.3085994720459,12.3273034095764
4,lions.csv,103.372535705566,1.81261742115021
5,lion_king.csv,31.0488624572754,7.42129445075989
6,maldives.csv,43.1289348602295,3.48032379150391
7,manhattan.csv,67.141845703125,15.2960577011108
8,masquerade_ball.csv,32.1032295227051,2.57168138027191
9,ninja_turtles.csv,73.4632263183594,2.81083798408508
10,om_nom.csv,30.3061141967773,1.87588596343994
11,pac_man.csv,24.0989856719971,12.1294431686401
12,pluto.csv,24.6434831619263,1.94975799322128
13,rollercoaster.csv,72.1663017272949,23.5052299499512
14,ski.csv,39.4361801147461,14.3381719589233
15,super_mario.csv,117.954257965088,1.18303328752518
16,surf.csv,29.0762395858765,14.2636642456055
17,venice.csv,78.5545883178711,9.87557554244995
